,Unnamed: 0,reject,pvals,pvals_corrected,tstats,effectsize,alpha,alpha_corrected,step,dimension_step
1,1,False,0.9913593936008408,0.9913593936008408,-2.421404938607185,-0.3433020246780298,0.05,0.025,1,2-3
0,0,False,0.8721151082891017,1.0,-1.1430614086372608,-0.1620609959366042,0.05,0.025,0,1-2
1,1,False,0.9999999727411448,1.0,-5.884659366264125,-0.8343154186102604,0.05,0.025,1,2-3
0,0,False,0.2430859488682624,0.4861718977365249,0.6990306738306317,0.0991071926103121,0.05,0.025,0,1-2
1,1,False,0.9999921596280004,0.9999921596280004,-4.54292522842508,-0.6440869942952725,0.05,0.025,1,2-3
0,0,False,0.8853653710735554,1.0,-1.2097143930308962,-0.1715109248305008,0.05,0.025,0,1-2
1,1,False,0.9999999970475366,1.0,-6.372897117971471,-0.903536805753294,0.05,0.025,1,2-3
0,0,False,0.996871675682472,1.0,-2.793715909369531,-0.396087541067567,0.05,0.025,0,1-2
1,1,False,0.999860680238824,1.0,-3.769095586669709,-0.5343749512846963,0.05,0.025,1,2-3
0,0,False,0.9996419636901102,1.0,-3.492786997274384,-0.4952004635057507,0.05,0.025,0,1-2
1,1,False,0.9852151694533768,1.0,-2.207759465860869,-0.3130117901998206,0.05,0.025,1,2-3
0,0,False,0.994921441016144,1.0,-2.620717623019346,-0.3715601846461293,0.05,0.025,0,1-2
1,1,False,0.9985111182621128,1.0,-3.0453952795738486,-0.4317701466422186,0.05,0.025,1,2-3
0,0,False,0.8916706502930081,1.0,-1.2433951722122856,-0.1762861193885641,0.05,0.025,0,1-2
1,1,False,0.999985648770107,1.0,-4.387309549658078,-0.6220241097522654,0.05,0.025,1,2-3
0,0,False,0.9999998933504536,1.0,-5.576340221955428,-0.7906025373814574,0.05,0.025,0,1-2
1,1,False,0.9999623580657988,1.0,-4.132039281031388,-0.5858323936694299,0.05,0.025,1,2-3
0,0,False,0.7110895472016041,1.0,-0.5584163485960055,-0.0791711704348765,0.05,0.025,0,1-2
1,1,False,0.9951832515657144,1.0,-2.6399939754765365,-0.3742931479441918,0.05,0.025,1,2-3
0,0,False,0.9880954903085664,1.0,-2.2955846650064364,-0.3254634740151544,0.05,0.025,0,1-2
1,1,False,0.5138702966182129,1.0,-0.0348627163692781,-0.0049427672854394,0.05,0.025,1,2-3
0,0,False,0.9999997407323694,1.0,-5.371266864183873,-0.7615276404866848,0.05,0.025,0,1-2
1,1,False,0.9993085412400288,1.0,-3.2912676928017133,-0.4666294532900987,0.05,0.025,1,2-3
0,0,False,0.5914885129278664,1.0,-0.2319921625833912,-0.0328913920404096,0.05,0.025,0,1-2
